"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
05/08/2010	,0.00265866045100684,0.001590014719298,0.000252434126660393,-0.00295714438535284,0.00597362805292365,0.000402034172980459
06/08/2010	,-0.00453271767806294,0.00800693862039706,0.00889231480110223,-0.00202894638776051,0.00485500309307313,0.000402034172980459
09/08/2010	,-0.00307889043928223,0.00516961994485246,0.00458216633862525,0.0107957170534716,-0.00219631128669838,0.000402034172980459
10/08/2010	,-0.00927479224667928,0.0112394600235909,-0.00589224612977622,-0.000893881334274274,0.00286102242181391,0.000402392899773618
11/08/2010	,-0.0190771572040217,0.00232736334918068,-0.0025759567930431,-0.00230945963813551,0.00763305834634781,0.000402751594282824
12/08/2010	,0.00426299448101747,-0.00506008494069187,0.00056560411263942,0.00128406846149808,0.00213040574820815,0.000402751594282824
13/08/2010	,0.00207127092109184,0.0121287239003856,0.00545563030123261,-0.00938209793137529,0.008663036192648,0.000402751594282824
16/08/2010	,0.00639655240520081,-0.00129450693635904,0.00557963095075059,0.00907441736579601,-0.00641761052300898,0.000402751594282824
17/08/2010	,0.0101083411945888,0.00749943678140272,-0.00606183708957552,0.00875849186381648,-0.00440041056063066,0.000402751594282824
18/08/2010	,4.57076952179359e-05,0.00195209571241944,0.0147302624748031,0.00407904701252543,0.00519535442943618,0.000402751594282824
19/08/2010	,-0.0104623424462497,-0.00493639302197199,-0.00314495450999064,0.006577308759936,0.00487162820696249,0.000402034172980459
20/08/2010	,-0.0017329588015913,-0.00568700423841186,-0.0119015121963059,-0.00279136063515789,-0.00107093502802259,0.000401675413897573
23/08/2010	,-0.00925082684621547,0.0125261102733771,-0.00123980268550372,0.00308593196322043,0.00678243914685281,0.000402034172980459
24/08/2010	,-0.0124634835826834,-0.00394683193681214,-0.00101575443189827,0.00314709694747857,-0.000237707842799875,0.000402034172980459
25/08/2010	,-0.00640382310251492,-0.00806021495949655,0.00259354638741648,-0.00153015580910304,-0.000168779915094485,0.000401675413897573
